size,path,id,color,name,coordinates,description,type,nodeVisibility
10000,LOC.0,LOC.0,#2579e8,landslide.LOC.0,"['101.3431', '24.4752']",10 km from the VII isobar of the Gengma,LOC,FALSE
5000,LOC.0/MED,LOC.0.MED,#27cf7e,landslide.LOC.0.MED,"['101.3431', '24.4752']",,MED,FALSE
5000,LOC.0/FAC,LOC.0.FAC,#f0a73a,landslide.LOC.0.FAC,"['101.3431', '24.4752']",,FAC,FALSE
5000,LOC.0/DATA,LOC.0.DATA,#8579ec,landslide.LOC.0.DATA,"['101.3431', '24.4752']",,DATA,FALSE
10000,LOC.1,LOC.1,#2579e8,landslide.LOC.1,"['50.5253', '25.2744']",41 - km rail that crosses the Serra do Mar mountain range,LOC,FALSE
5000,LOC.1/MED,LOC.1.MED,#27cf7e,landslide.LOC.1.MED,"['50.5253', '25.2744']",,MED,FALSE
5000,LOC.1/FAC,LOC.1.FAC,#f0a73a,landslide.LOC.1.FAC,"['50.5253', '25.2744']",,FAC,FALSE
5000,LOC.1/DATA,LOC.1.DATA,#8579ec,landslide.LOC.1.DATA,"['50.5253', '25.2744']",,DATA,FALSE
10000,LOC.2,LOC.2,#2579e8,landslide.LOC.2,"['3.0857', '36.7372']",70 km southeast of the Algerian capital,LOC,FALSE
5000,LOC.2/MED,LOC.2.MED,#27cf7e,landslide.LOC.2.MED,"['3.0857', '36.7372']",,MED,FALSE
5000,LOC.2/FAC,LOC.2.FAC,#f0a73a,landslide.LOC.2.FAC,"['3.0857', '36.7372']",,FAC,FALSE
5000,LOC.2/DATA,LOC.2.DATA,#8579ec,landslide.LOC.2.DATA,"['3.0857', '36.7372']",,DATA,FALSE
10000,LOC.3,LOC.3,#2579e8,landslide.LOC.3,"['78.4322', '30.3090']",a famous tourist destination in the Indian State of Uttarakhand,LOC,FALSE
5000,LOC.3/MED,LOC.3.MED,#27cf7e,landslide.LOC.3.MED,"['78.4322', '30.3090']",,MED,FALSE
5000,LOC.3/FAC,LOC.3.FAC,#f0a73a,landslide.LOC.3.FAC,"['78.4322', '30.3090']",,FAC,FALSE
5000,LOC.3/DATA,LOC.3.DATA,#8579ec,landslide.LOC.3.DATA,"['78.4322', '30.3090']",,DATA,FALSE
10000,LOC.4,LOC.4,#2579e8,landslide.LOC.4,"['6.8481', '49.3727']",A lagou,LOC,FALSE
5000,LOC.4/MED,LOC.4.MED,#27cf7e,landslide.LOC.4.MED,"['6.8481', '49.3727']",,MED,FALSE
5000,LOC.4/FAC,LOC.4.FAC,#f0a73a,landslide.LOC.4.FAC,"['6.8481', '49.3727']",,FAC,FALSE
5000,LOC.4/DATA,LOC.4.DATA,#8579ec,landslide.LOC.4.DATA,"['6.8481', '49.3727']",,DATA,FALSE
10000,LOC.5,LOC.5,#2579e8,landslide.LOC.5,"['38.1317', '9.9378']",Aba Libanos area in Northwestern Ethiopia,LOC,FALSE
5000,LOC.5/MED,LOC.5.MED,#27cf7e,landslide.LOC.5.MED,"['38.1317', '9.9378']",,MED,FALSE
5000,LOC.5/FAC,LOC.5.FAC,#f0a73a,landslide.LOC.5.FAC,"['38.1317', '9.9378']",,FAC,FALSE
5000,LOC.5/DATA,LOC.5.DATA,#8579ec,landslide.LOC.5.DATA,"['38.1317', '9.9378']",,DATA,FALSE
10000,LOC.6,LOC.6,#2579e8,landslide.LOC.6,"['37.4031', '11.7990']",Abay Gorge near Dejen,LOC,FALSE
5000,LOC.6/MED,LOC.6.MED,#27cf7e,landslide.LOC.6.MED,"['37.4031', '11.7990']",,MED,FALSE
5000,LOC.6/FAC,LOC.6.FAC,#f0a73a,landslide.LOC.6.FAC,"['37.4031', '11.7990']",,FAC,FALSE
5000,LOC.6/DATA,LOC.6.DATA,#8579ec,landslide.LOC.6.DATA,"['37.4031', '11.7990']",,DATA,FALSE
10000,LOC.7,LOC.7,#2579e8,landslide.LOC.7,"['73.2407', '34.1688']",Abbottabad,LOC,FALSE
5000,LOC.7/MED,LOC.7.MED,#27cf7e,landslide.LOC.7.MED,"['73.2407', '34.1688']",,MED,FALSE
5000,LOC.7/FAC,LOC.7.FAC,#f0a73a,landslide.LOC.7.FAC,"['73.2407', '34.1688']",,FAC,FALSE
5000,LOC.7/DATA,LOC.7.DATA,#8579ec,landslide.LOC.7.DATA,"['73.2407', '34.1688']",,DATA,FALSE
10000,LOC.8,LOC.8,#2579e8,landslide.LOC.8,"['34.9967', '14.4105']",Abe Barek,LOC,FALSE
5000,LOC.8/MED,LOC.8.MED,#27cf7e,landslide.LOC.8.MED,"['34.9967', '14.4105']",,MED,FALSE
5000,LOC.8/FAC,LOC.8.FAC,#f0a73a,landslide.LOC.8.FAC,"['34.9967', '14.4105']",,FAC,FALSE
5000,LOC.8/DATA,LOC.8.DATA,#8579ec,landslide.LOC.8.DATA,"['34.9967', '14.4105']",,DATA,FALSE
10000,LOC.9,LOC.9,#2579e8,landslide.LOC.9,"['13.6747', '42.3512']",Abruzzo,LOC,FALSE
5000,LOC.9/MED,LOC.9.MED,#27cf7e,landslide.LOC.9.MED,"['13.6747', '42.3512']",,MED,FALSE
5000,LOC.9/FAC,LOC.9.FAC,#f0a73a,landslide.LOC.9.FAC,"['13.6747', '42.3512']",,FAC,FALSE
5000,LOC.9/DATA,LOC.9.DATA,#8579ec,landslide.LOC.9.DATA,"['13.6747', '42.3512']",,DATA,FALSE
10000,LOC.10,LOC.10,#2579e8,landslide.LOC.10,"['21.6536', '38.1313']",Achaia Regional Unit located in Northern Peloponnese,LOC,FALSE
5000,LOC.10/MED,LOC.10.MED,#27cf7e,landslide.LOC.10.MED,"['21.6536', '38.1313']",,MED,FALSE
5000,LOC.10/FAC,LOC.10.FAC,#f0a73a,landslide.LOC.10.FAC,"['21.6536', '38.1313']",,FAC,FALSE
5000,LOC.10/DATA,LOC.10.DATA,#8579ec,landslide.LOC.10.DATA,"['21.6536', '38.1313']",,DATA,FALSE
10000,LOC.11,LOC.11,#2579e8,landslide.LOC.11,"['77.1025', '28.7041']",adjacent to the National Highways,LOC,FALSE
5000,LOC.11/MED,LOC.11.MED,#27cf7e,landslide.LOC.11.MED,"['77.1025', '28.7041']",,MED,FALSE
5000,LOC.11/FAC,LOC.11.FAC,#f0a73a,landslide.LOC.11.FAC,"['77.1025', '28.7041']",,FAC,FALSE
5000,LOC.11/DATA,LOC.11.DATA,#8579ec,landslide.LOC.11.DATA,"['77.1025', '28.7041']",,DATA,FALSE
10000,LOC.12,LOC.12,#2579e8,landslide.LOC.12,"['16.7187', '42.2596']",Adriatic coast,LOC,FALSE
5000,LOC.12/MED,LOC.12.MED,#27cf7e,landslide.LOC.12.MED,"['16.7187', '42.2596']",,MED,FALSE
5000,LOC.12/FAC,LOC.12.FAC,#f0a73a,landslide.LOC.12.FAC,"['16.7187', '42.2596']",,FAC,FALSE
5000,LOC.12/DATA,LOC.12.DATA,#8579ec,landslide.LOC.12.DATA,"['16.7187', '42.2596']",,DATA,FALSE
