size,path,id,color,name,coordinates,description,type
5000,landslide,landslide,"rgb(255, 136, 0)",landslide,,,root
1000,landslide/landslide.0,landslide.0,#5728AE,landslide.landslide.0,"['101.3431', '24.4752']",10 km from the VII isobar of the Gengma,Spot
1000,landslide/landslide.0/MED,landslide.0.MED,#45B34D,landslide.landslide.0.MED,"['101.3431', '24.4752']",,MED
1000,landslide/landslide.0/FAC,landslide.0.FAC,#F2A737,landslide.landslide.0.FAC,"['101.3431', '24.4752']",,FAC
1000,landslide/landslide.0/LOC,landslide.0.LOC,#2579E8,landslide.landslide.0.LOC,"['101.3431', '24.4752']",,LOC
1000,landslide/landslide.1,landslide.1,#5728AE,landslide.landslide.1,"['50.5253', '25.2744']",41 - km rail that crosses the Serra do Mar mountain range,Spot
1000,landslide/landslide.1/MED,landslide.1.MED,#45B34D,landslide.landslide.1.MED,"['50.5253', '25.2744']",,MED
1000,landslide/landslide.1/FAC,landslide.1.FAC,#F2A737,landslide.landslide.1.FAC,"['50.5253', '25.2744']",,FAC
1000,landslide/landslide.1/LOC,landslide.1.LOC,#2579E8,landslide.landslide.1.LOC,"['50.5253', '25.2744']",,LOC
1000,landslide/landslide.2,landslide.2,#5728AE,landslide.landslide.2,"['3.0857', '36.7372']",70 km southeast of the Algerian capital,Spot
1000,landslide/landslide.2/MED,landslide.2.MED,#45B34D,landslide.landslide.2.MED,"['3.0857', '36.7372']",,MED
1000,landslide/landslide.2/FAC,landslide.2.FAC,#F2A737,landslide.landslide.2.FAC,"['3.0857', '36.7372']",,FAC
1000,landslide/landslide.2/LOC,landslide.2.LOC,#2579E8,landslide.landslide.2.LOC,"['3.0857', '36.7372']",,LOC
1000,landslide/landslide.3,landslide.3,#5728AE,landslide.landslide.3,"['78.4322', '30.3090']",a famous tourist destination in the Indian State of Uttarakhand,Spot
1000,landslide/landslide.3/MED,landslide.3.MED,#45B34D,landslide.landslide.3.MED,"['78.4322', '30.3090']",,MED
1000,landslide/landslide.3/FAC,landslide.3.FAC,#F2A737,landslide.landslide.3.FAC,"['78.4322', '30.3090']",,FAC
1000,landslide/landslide.3/LOC,landslide.3.LOC,#2579E8,landslide.landslide.3.LOC,"['78.4322', '30.3090']",,LOC
1000,landslide/landslide.4,landslide.4,#5728AE,landslide.landslide.4,"['6.8481', '49.3727']",A lagou,Spot
1000,landslide/landslide.4/MED,landslide.4.MED,#45B34D,landslide.landslide.4.MED,"['6.8481', '49.3727']",,MED
1000,landslide/landslide.4/FAC,landslide.4.FAC,#F2A737,landslide.landslide.4.FAC,"['6.8481', '49.3727']",,FAC
1000,landslide/landslide.4/LOC,landslide.4.LOC,#2579E8,landslide.landslide.4.LOC,"['6.8481', '49.3727']",,LOC
1000,landslide/landslide.5,landslide.5,#5728AE,landslide.landslide.5,"['38.1317', '9.9378']",Aba Libanos area in Northwestern Ethiopia,Spot
1000,landslide/landslide.5/MED,landslide.5.MED,#45B34D,landslide.landslide.5.MED,"['38.1317', '9.9378']",,MED
1000,landslide/landslide.5/FAC,landslide.5.FAC,#F2A737,landslide.landslide.5.FAC,"['38.1317', '9.9378']",,FAC
1000,landslide/landslide.5/LOC,landslide.5.LOC,#2579E8,landslide.landslide.5.LOC,"['38.1317', '9.9378']",,LOC
1000,landslide/landslide.6,landslide.6,#5728AE,landslide.landslide.6,"['37.4031', '11.7990']",Abay Gorge near Dejen,Spot
1000,landslide/landslide.6/MED,landslide.6.MED,#45B34D,landslide.landslide.6.MED,"['37.4031', '11.7990']",,MED
1000,landslide/landslide.6/FAC,landslide.6.FAC,#F2A737,landslide.landslide.6.FAC,"['37.4031', '11.7990']",,FAC
1000,landslide/landslide.6/LOC,landslide.6.LOC,#2579E8,landslide.landslide.6.LOC,"['37.4031', '11.7990']",,LOC
1000,landslide/landslide.7,landslide.7,#5728AE,landslide.landslide.7,"['73.2407', '34.1688']",Abbottabad,Spot
1000,landslide/landslide.7/MED,landslide.7.MED,#45B34D,landslide.landslide.7.MED,"['73.2407', '34.1688']",,MED
1000,landslide/landslide.7/FAC,landslide.7.FAC,#F2A737,landslide.landslide.7.FAC,"['73.2407', '34.1688']",,FAC
1000,landslide/landslide.7/LOC,landslide.7.LOC,#2579E8,landslide.landslide.7.LOC,"['73.2407', '34.1688']",,LOC
1000,landslide/landslide.8,landslide.8,#5728AE,landslide.landslide.8,"['34.9967', '14.4105']",Abe Barek,Spot
1000,landslide/landslide.8/MED,landslide.8.MED,#45B34D,landslide.landslide.8.MED,"['34.9967', '14.4105']",,MED
1000,landslide/landslide.8/FAC,landslide.8.FAC,#F2A737,landslide.landslide.8.FAC,"['34.9967', '14.4105']",,FAC
1000,landslide/landslide.8/LOC,landslide.8.LOC,#2579E8,landslide.landslide.8.LOC,"['34.9967', '14.4105']",,LOC
1000,landslide/landslide.9,landslide.9,#5728AE,landslide.landslide.9,"['13.6747', '42.3512']",Abruzzo,Spot
1000,landslide/landslide.9/MED,landslide.9.MED,#45B34D,landslide.landslide.9.MED,"['13.6747', '42.3512']",,MED
1000,landslide/landslide.9/FAC,landslide.9.FAC,#F2A737,landslide.landslide.9.FAC,"['13.6747', '42.3512']",,FAC
1000,landslide/landslide.9/LOC,landslide.9.LOC,#2579E8,landslide.landslide.9.LOC,"['13.6747', '42.3512']",,LOC
1000,landslide/landslide.10,landslide.10,#5728AE,landslide.landslide.10,"['21.6536', '38.1313']",Achaia Regional Unit located in Northern Peloponnese,Spot
1000,landslide/landslide.10/MED,landslide.10.MED,#45B34D,landslide.landslide.10.MED,"['21.6536', '38.1313']",,MED
1000,landslide/landslide.10/FAC,landslide.10.FAC,#F2A737,landslide.landslide.10.FAC,"['21.6536', '38.1313']",,FAC
1000,landslide/landslide.10/LOC,landslide.10.LOC,#2579E8,landslide.landslide.10.LOC,"['21.6536', '38.1313']",,LOC
1000,landslide/landslide.11,landslide.11,#5728AE,landslide.landslide.11,"['77.1025', '28.7041']",adjacent to the National Highways,Spot
1000,landslide/landslide.11/MED,landslide.11.MED,#45B34D,landslide.landslide.11.MED,"['77.1025', '28.7041']",,MED
1000,landslide/landslide.11/FAC,landslide.11.FAC,#F2A737,landslide.landslide.11.FAC,"['77.1025', '28.7041']",,FAC
1000,landslide/landslide.11/LOC,landslide.11.LOC,#2579E8,landslide.landslide.11.LOC,"['77.1025', '28.7041']",,LOC
1000,landslide/landslide.12,landslide.12,#5728AE,landslide.landslide.12,"['16.7187', '42.2596']",Adriatic coast,Spot
1000,landslide/landslide.12/MED,landslide.12.MED,#45B34D,landslide.landslide.12.MED,"['16.7187', '42.2596']",,MED
1000,landslide/landslide.12/FAC,landslide.12.FAC,#F2A737,landslide.landslide.12.FAC,"['16.7187', '42.2596']",,FAC
1000,landslide/landslide.12/LOC,landslide.12.LOC,#2579E8,landslide.landslide.12.LOC,"['16.7187', '42.2596']",,LOC
1000,landslide/landslide.13,landslide.13,#5728AE,landslide.landslide.13,"['17.1232', '40.6395']",Adriatic Coast of south Italy,Spot
1000,landslide/landslide.13/MED,landslide.13.MED,#45B34D,landslide.landslide.13.MED,"['17.1232', '40.6395']",,MED
1000,landslide/landslide.13/FAC,landslide.13.FAC,#F2A737,landslide.landslide.13.FAC,"['17.1232', '40.6395']",,FAC
1000,landslide/landslide.13/LOC,landslide.13.LOC,#2579E8,landslide.landslide.13.LOC,"['17.1232', '40.6395']",,LOC
1000,landslide/landslide.14,landslide.14,#5728AE,landslide.landslide.14,"['14.8498', '38.4693']",Aeolian Archipelago,Spot
1000,landslide/landslide.14/MED,landslide.14.MED,#45B34D,landslide.landslide.14.MED,"['14.8498', '38.4693']",,MED
1000,landslide/landslide.14/FAC,landslide.14.FAC,#F2A737,landslide.landslide.14.FAC,"['14.8498', '38.4693']",,FAC
1000,landslide/landslide.14/LOC,landslide.14.LOC,#2579E8,landslide.landslide.14.LOC,"['14.8498', '38.4693']",,LOC
1000,landslide/landslide.15,landslide.15,#5728AE,landslide.landslide.15,"['21.2911', '38.7205']",Aetolia - Acarnania and Evritania prefectures,Spot
1000,landslide/landslide.15/MED,landslide.15.MED,#45B34D,landslide.landslide.15.MED,"['21.2911', '38.7205']",,MED
1000,landslide/landslide.15/FAC,landslide.15.FAC,#F2A737,landslide.landslide.15.FAC,"['21.2911', '38.7205']",,FAC
1000,landslide/landslide.15/LOC,landslide.15.LOC,#2579E8,landslide.landslide.15.LOC,"['21.2911', '38.7205']",,LOC
1000,landslide/landslide.16,landslide.16,#5728AE,landslide.landslide.16,"['14.9333', '37.8219']",affluent of the Alcantara River,Spot
1000,landslide/landslide.16/MED,landslide.16.MED,#45B34D,landslide.landslide.16.MED,"['14.9333', '37.8219']",,MED
1000,landslide/landslide.16/FAC,landslide.16.FAC,#F2A737,landslide.landslide.16.FAC,"['14.9333', '37.8219']",,FAC
1000,landslide/landslide.16/LOC,landslide.16.LOC,#2579E8,landslide.landslide.16.LOC,"['14.9333', '37.8219']",,LOC
1000,landslide/landslide.17,landslide.17,#5728AE,landslide.landslide.17,"['66.2385', '33.9391']",Afghanistan,Spot
1000,landslide/landslide.17/MED,landslide.17.MED,#45B34D,landslide.landslide.17.MED,"['66.2385', '33.9391']",,MED
1000,landslide/landslide.17/FAC,landslide.17.FAC,#F2A737,landslide.landslide.17.FAC,"['66.2385', '33.9391']",,FAC
1000,landslide/landslide.17/LOC,landslide.17.LOC,#2579E8,landslide.landslide.17.LOC,"['66.2385', '33.9391']",,LOC
1000,landslide/landslide.18,landslide.18,#5728AE,landslide.landslide.18,"['17.3660', '8.7832']",Africa,Spot
1000,landslide/landslide.18/MED,landslide.18.MED,#45B34D,landslide.landslide.18.MED,"['17.3660', '8.7832']",,MED
1000,landslide/landslide.18/FAC,landslide.18.FAC,#F2A737,landslide.landslide.18.FAC,"['17.3660', '8.7832']",,FAC
1000,landslide/landslide.18/LOC,landslide.18.LOC,#2579E8,landslide.landslide.18.LOC,"['17.3660', '8.7832']",,LOC
1000,landslide/landslide.19,landslide.19,#5728AE,landslide.landslide.19,"['9.6304', '30.4202']",Agadir Ida - Ou - Tanane province,Spot
1000,landslide/landslide.19/MED,landslide.19.MED,#45B34D,landslide.landslide.19.MED,"['9.6304', '30.4202']",,MED
1000,landslide/landslide.19/FAC,landslide.19.FAC,#F2A737,landslide.landslide.19.FAC,"['9.6304', '30.4202']",,FAC
1000,landslide/landslide.19/LOC,landslide.19.LOC,#2579E8,landslide.landslide.19.LOC,"['9.6304', '30.4202']",,LOC
1000,landslide/landslide.20,landslide.20,#5728AE,landslide.landslide.20,"['14.5233', '41.5833']",Agnone,Spot
1000,landslide/landslide.20/MED,landslide.20.MED,#45B34D,landslide.landslide.20.MED,"['14.5233', '41.5833']",,MED
1000,landslide/landslide.20/FAC,landslide.20.FAC,#F2A737,landslide.landslide.20.FAC,"['14.5233', '41.5833']",,FAC
