size,path,id,color,name,coordinates,description,type,nodeVisibility
20000,landslide,landslide,#006FEA,landslide,,,root,true
10000,landslide/LOC.0,LOC.0,#2579e8,landslide.LOC.0,"['101.3431', '24.4752']",10 km from the VII isobar of the Gengma,LOC,false
10000,landslide/LOC.1,LOC.1,#2579e8,landslide.LOC.1,"['50.5253', '25.2744']",41 - km rail that crosses the Serra do Mar mountain range,LOC,false
10000,landslide/LOC.2,LOC.2,#2579e8,landslide.LOC.2,"['3.0857', '36.7372']",70 km southeast of the Algerian capital,LOC,false
10000,landslide/LOC.3,LOC.3,#2579e8,landslide.LOC.3,"['78.4322', '30.3090']",a famous tourist destination in the Indian State of Uttarakhand,LOC,false
10000,landslide/LOC.4,LOC.4,#2579e8,landslide.LOC.4,"['6.8481', '49.3727']",A lagou,LOC,false
10000,landslide/LOC.5,LOC.5,#2579e8,landslide.LOC.5,"['38.1317', '9.9378']",Aba Libanos area in Northwestern Ethiopia,LOC,false
10000,landslide/LOC.6,LOC.6,#2579e8,landslide.LOC.6,"['37.4031', '11.7990']",Abay Gorge near Dejen,LOC,false
10000,landslide/LOC.7,LOC.7,#2579e8,landslide.LOC.7,"['73.2407', '34.1688']",Abbottabad,LOC,false
10000,landslide/LOC.8,LOC.8,#2579e8,landslide.LOC.8,"['34.9967', '14.4105']",Abe Barek,LOC,false
10000,landslide/LOC.9,LOC.9,#2579e8,landslide.LOC.9,"['13.6747', '42.3512']",Abruzzo,LOC,false
10000,landslide/LOC.10,LOC.10,#2579e8,landslide.LOC.10,"['21.6536', '38.1313']",Achaia Regional Unit located in Northern Peloponnese,LOC,false
10000,landslide/LOC.11,LOC.11,#2579e8,landslide.LOC.11,"['77.1025', '28.7041']",adjacent to the National Highways,LOC,false
10000,landslide/LOC.12,LOC.12,#2579e8,landslide.LOC.12,"['16.7187', '42.2596']",Adriatic coast,LOC,false
10000,landslide/LOC.13,LOC.13,#2579e8,landslide.LOC.13,"['17.1232', '40.6395']",Adriatic Coast of south Italy,LOC,false
10000,landslide/LOC.14,LOC.14,#2579e8,landslide.LOC.14,"['14.8498', '38.4693']",Aeolian Archipelago,LOC,false
10000,landslide/LOC.15,LOC.15,#2579e8,landslide.LOC.15,"['21.2911', '38.7205']",Aetolia - Acarnania and Evritania prefectures,LOC,false
10000,landslide/LOC.16,LOC.16,#2579e8,landslide.LOC.16,"['14.9333', '37.8219']",affluent of the Alcantara River,LOC,false
10000,landslide/LOC.17,LOC.17,#2579e8,landslide.LOC.17,"['66.2385', '33.9391']",Afghanistan,LOC,false
10000,landslide/LOC.18,LOC.18,#2579e8,landslide.LOC.18,"['17.3660', '8.7832']",Africa,LOC,false
10000,landslide/LOC.19,LOC.19,#2579e8,landslide.LOC.19,"['9.6304', '30.4202']",Agadir Ida - Ou - Tanane province,LOC,false
10000,landslide/LOC.20,LOC.20,#2579e8,landslide.LOC.20,"['14.5233', '41.5833']",Agnone,LOC,false
10000,landslide/LOC.21,LOC.21,#2579e8,landslide.LOC.21,"['146.7265', '-41.1211']",Agnus Creek valley,LOC,false
10000,landslide/LOC.22,LOC.22,#2579e8,landslide.LOC.22,"['5.5311', '5.5060']",Ago District,LOC,false
10000,landslide/LOC.23,LOC.23,#2579e8,landslide.LOC.23,"['72.7833', '34.0192']",AH - 1,LOC,false
10000,landslide/LOC.24,LOC.24,#2579e8,landslide.LOC.24,"['74.1280', '34.1271']",AH - 2,LOC,false
10000,landslide/LOC.25,LOC.25,#2579e8,landslide.LOC.25,"['72.7833', '34.0192']",AH48,LOC,false
10000,landslide/LOC.26,LOC.26,#2579e8,landslide.LOC.26,"['35.7516', '32.3335']",Ajloun and Jerash governorates in Jordan,LOC,false
10000,landslide/LOC.27,LOC.27,#2579e8,landslide.LOC.27,"['138.1875', '35.6595']",Akaishi Mountains,LOC,false
10000,landslide/LOC.28,LOC.28,#2579e8,landslide.LOC.28,"['-3.9492', '35.0527']",Aknoul region in the Rif,LOC,false
10000,landslide/LOC.29,LOC.29,#2579e8,landslide.LOC.29,"['35.1400', '32.0986']",Al - Hasher,LOC,false
10000,landslide/LOC.30,LOC.30,#2579e8,landslide.LOC.30,"['-84.0926', '10.0159']",Alajuela,LOC,false
10000,landslide/LOC.31,LOC.31,#2579e8,landslide.LOC.31,"['106.7290', '32.9829']",Alamout basin,LOC,false
10000,landslide/LOC.32,LOC.32,#2579e8,landslide.LOC.32,"['50.2201', '36.5486']",Alamut watershed,LOC,false
10000,landslide/LOC.33,LOC.33,#2579e8,landslide.LOC.33,"['51.4667', '35.9931']",Alborz Mountain Belt,LOC,false
10000,landslide/LOC.34,LOC.34,#2579e8,landslide.LOC.34,"['-0.6171', '38.6910']",Alcoy,LOC,false
10000,landslide/LOC.35,LOC.35,#2579e8,landslide.LOC.35,"['2.6329', '28.0339']",Algeria,LOC,false
10000,landslide/LOC.36,LOC.36,#2579e8,landslide.LOC.36,"['3.0588', '36.7372']",Algiers,LOC,false
10000,landslide/LOC.37,LOC.37,#2579e8,landslide.LOC.37,"['3.2935', '36.8402']",Algiers Sahel,LOC,false
