size,path,id,color,name,entityID,order,s_height,height,guid,ground_lev,rise_by,level,coordinates
10000,city,city,"rgb(125, 220, 255)",德清地理信息小镇,,,,,,,,,
5000,city/house,house,"rgb(255, 136, 0)",德清地理信息小镇—A区,,,,,,,,,
1000,city/house/house.0,house.0,"rgb(255, 183, 0)",14栋-正元大厦,007a63f4-a7c2-4bd7-b637-c9890228ca61,1.0,0.0,57.0,0dff9015-f8b4-4260-9c90-57589de3d712,Raise or lower,57.0,0.0,"[[[119.9759047277446, 30.52270938827809], [119.97555659262503, 30.52266107072308], [119.97550761498701, 30.52293636055399], [119.97585414244189, 30.52298331074159], [119.9759047277446, 30.52270938827809]]]"
1000,city/house/house.1,house.1,"rgb(189, 186, 0)",,024a7d7d-d581-4bb6-a748-0e0ea8725973,1.0,0.0,5.0,0301b9bc-0cc0-449d-a4ec-5cbe280dc590,Raise or lower,5.0,0.0,"[[[119.97321636188869, 30.520094202264215], [119.97313449336256, 30.52010074509626], [119.9731388878951, 30.52014489255675], [119.9732212118265, 30.52013825332621], [119.97321636188869, 30.520094202264215]]]"
1000,city/house/house.2,house.2,"rgb(189, 186, 0)",,032136c4-5338-46c6-940c-9063a81ba0d0,1.0,0.0,16.0,013df85a-9aaa-4162-9344-4010cac00464,Raise or lower,16.0,0.0,"[[[119.97611419412637, 30.521471023615465], [119.97587379810871, 30.52143996060527], [119.97584536005294, 30.52159383803056], [119.97608491732534, 30.52162875588276], [119.97611419412637, 30.521471023615465]]]"
1000,city/house/house.3,house.3,"rgb(189, 186, 0)",,0596759a-8cb4-4845-8ef8-fb569974d0bd,1.0,0.0,4.0,bc8c3399-61d7-4527-9ea3-66828f532541,Raise or lower,4.0,0.0,"[[[119.97404753018311, 30.52058350754903], [119.97407946871881, 30.520580186666436], [119.97406941772886, 30.520526094243294], [119.97403921292158, 30.520529694483518], [119.97404753018311, 30.52058350754903]]]"
1000,city/house/house.4,house.4,"rgb(255, 183, 0)",A区7栋,069f124c-ddc4-4105-b7bd-d4d1a7cbbdc2,1.0,0.0,18.0,220b0d05-780c-4d3e-bfba-6305b1f120c7,Raise or lower,18.0,0.0,"[[[119.97459990888603, 30.52317610169945], [119.97432140549408, 30.523150167971522], [119.97429529812334, 30.52336237936577], [119.97457415570547, 30.523387545768458], [119.97459990888603, 30.52317610169945]]]"
1000,city/house/house.5,house.5,"rgb(189, 186, 0)",,08f1ebb0-2a50-4e23-941d-c86f58a94f6c,1.0,0.0,5.0,fa987e70-1dd1-4059-a312-0c7fb96c2e3a,Raise or lower,5.0,0.0,"[[[119.97514026222575, 30.521179641463277], [119.97508355890245, 30.521170947169214], [119.97507208634832, 30.52122725536332], [119.97512910449701, 30.5212361579645], [119.97514026222575, 30.521179641463277]]]"
1000,city/house/house.6,house.6,"rgb(189, 186, 0)",,0b10642f-acba-42fc-9e38-988f005921f7,1.0,0.0,4.0,1a097d4c-a88e-4e14-b209-859ef29051ca,Raise or lower,4.0,0.0,"[[[119.97378810839535, 30.520776754716543], [119.97378542382346, 30.520722405906774], [119.97375282914668, 30.5207242944368], [119.97375591910267, 30.520778109590136], [119.97378810839535, 30.520776754716543]]]"
1000,city/house/house.7,house.7,"rgb(189, 186, 0)",,0b94e9a2-9581-4698-b9a6-06be16c1290e,1.0,0.0,4.0,e819544f-05aa-4e04-b9db-5795e3af70b7,Raise or lower,4.0,0.0,"[[[119.97491719882026, 30.521769869639286], [119.97487334260943, 30.521763108083476], [119.97485781184967, 30.52177543132562], [119.97485514312723, 30.521787512419053], [119.97491228230356, 30.521796001087203], [119.97491719882026, 30.521769869639286]]]"
