"~id","~labels","name","ID","weight","Coordinate","link"
"0","DAT","remote sensing satellites","DAT1",,,
"1","DAT","interferometric synthetic aperture radar (InSAR)","DAT2",,,
"2","DAT","landslide monitoring data","DAT3",,,
"3","DAT","landslides","DAT4",,,
"4","DAT","high-resolution remote sensing images","DAT5",,,
"5","DAT","landslide sites","DAT6",,,
"6","DAT","InSAR data","DAT7",,,
"7","DAT","sequential SAR image","DAT8",,,
"8","DAT","landslide locations","DAT9",,,
"9","DAT","digital elevation models (DEMs)","DAT10",,,
"10","DAT","Google Earth images","DAT11",,,
"11","DAT","inclinometer and radar interferometer data","DAT12",,,
"12","DAT","earlier reports","DAT13",,,
"13","DAT","aerial photographs","DAT14",,,
"14","DAT","vegetation","DAT15",,,
"15","DAT","soil moisture content","DAT16",,,
"16","DAT","soil organic content","DAT17",,,
"17","DAT","compaction of soil","DAT18",,,
"18","DAT","soil toughness","DAT19",,,
"19","DAT","plant root strength","DAT20",,,
"20","DAT","crop biomass","DAT21",,,
"21","DAT","tree diameter at knee height","DAT22",,,
"22","DAT","Shannon Wiener Index","DAT23",,,
"23","DAT","SWI","DAT24",,,
"24","DAT","SWI for trees","DAT25",,,
"25","DAT","herbs","DAT26",,,
"26","DAT","vegetation cover","DAT27",,,
"27","DAT","soil characteristics","DAT28",,,
"28","DAT","soil","DAT29",,,
"29","DAT","vegetation characteristics","DAT30",,,
"30","DAT","satellite images","DAT31",,,
"31","DAT","field views","DAT32",,,
"32","DAT","Manually delineated landslide Points with 13 features Dataset (MPD13)","DAT33",,,
"33","DAT","Randomly delineated landslide Points with 13 features Dataset (RPD13)","DAT34",,,
"34","DAT","dataset MPD9","DAT35",,,
"35","DAT","dataset MPD13","DAT36",,,
"36","DAT","dataset RPD13","DAT37",,,
"37","DAT","dataset RPD9","DAT38",,,
"38","DAT","historical landslide data","DAT39",,,
"39","DAT","landslide","DAT40",,,
"40","DAT","remotely sensed data","DAT41",,,
"41","DAT","historical cartographic documents","DAT42",,,
"42","DAT","remote-sensing products","DAT43",,,
"43","DAT","historical landslide inventories","DAT44",,,
"44","DAT","high-resolution digital terrain models (HRDTM)","DAT45",,,
"45","DAT","airborne light detection and ranging (LiDAR)","DAT46",,,
"46","DAT","previous landslide locations","DAT47",,,
"47","DAT","landslide inventory maps","DAT48",,,
"48","DAT","vector data","DAT49",,,
"49","DAT","satellite imagery","DAT50",,,
"50","DAT","Shuttle Radar Topographic Mission (STRM)","DAT51",,,
"51","DAT","Advanced Space-borne Thermal Emission and Reflection Radiometer (ASTER) DEM","DAT52",,,
"52","DAT","landslide conditioning factors","DAT53",,,
"53","DAT","non-landslide points","DAT54",,,
"54","DAT","satellite remote sensing","DAT55",,,
"55","DAT","unmanned aerial vehicle (UAV) 3D imaging","DAT56",,,
"56","DAT","geographical information systems","DAT57",,,
"57","DAT","land cover data","DAT58",,,
