"~id","~start_node_id","~end_node_id","~relationship_type"
"0","4000","6440","exist_in"
"1","4001","6440","exist_in"
"2","4002","6440","exist_in"
"3","4003","6440","exist_in"
"4","4004","6440","exist_in"
"5","4005","6440","exist_in"
"6","4006","6442","exist_in"
"7","4007","6442","exist_in"
"8","4008","6442","exist_in"
"9","4009","6442","exist_in"
"10","4010","6442","exist_in"
"11","4011","6442","exist_in"
"12","4012","6442","exist_in"
"13","4013","6443","exist_in"
"14","4014","6443","exist_in"
"15","4015","6443","exist_in"
"16","4016","6443","exist_in"
"17","4017","6444","exist_in"
"18","4018","6444","exist_in"
"19","4019","6445","exist_in"
"20","4020","6445","exist_in"
"21","4021","6445","exist_in"
"22","4022","6445","exist_in"
"23","4023","6446","exist_in"
"24","4024","6446","exist_in"
"25","4025","6446","exist_in"
"26","4026","6446","exist_in"
"27","4027","6447","exist_in"
"28","4028","6448","exist_in"
"29","4029","6448","exist_in"
"30","4030","6448","exist_in"
"31","4031","6448","exist_in"
"32","4032","6449","exist_in"
"33","4033","6450","exist_in"
"34","4034","6451","exist_in"
"35","4035","6451","exist_in"
"36","4036","6451","exist_in"
"37","4037","6452","exist_in"
"38","4028","6453","exist_in"
"39","4038","6453","exist_in"
"40","4039","6453","exist_in"
"41","4040","6453","exist_in"
"42","4041","6453","exist_in"
"43","4042","6453","exist_in"
"44","4043","6453","exist_in"
"45","4044","6453","exist_in"
"46","4045","6453","exist_in"
"47","4011","6453","exist_in"
"48","4046","6453","exist_in"
"49","4047","6454","exist_in"
"50","4048","6455","exist_in"
"51","4049","6455","exist_in"
"52","4050","6455","exist_in"
"53","4051","6456","exist_in"
"54","4052","6456","exist_in"
"55","4053","6456","exist_in"
"56","4054","6456","exist_in"
"57","4019","6456","exist_in"
"58","4055","6456","exist_in"
"59","4056","6456","exist_in"
"60","4057","6456","exist_in"
"61","4058","6457","exist_in"
"62","4059","6457","exist_in"
"63","4030","6458","exist_in"
"64","4060","6458","exist_in"
"65","4061","6458","exist_in"
"66","4062","6458","exist_in"
"67","4063","6459","exist_in"
"68","4064","6460","exist_in"
"69","4065","6461","exist_in"
"70","4066","6461","exist_in"
"71","4067","6461","exist_in"
"72","4020","6462","exist_in"
"73","4068","6462","exist_in"
"74","4030","6462","exist_in"
"75","4069","6462","exist_in"
"76","4070","6462","exist_in"
"77","4071","6463","exist_in"
"78","4072","6463","exist_in"
