FID,SOIL_CLASS,Elevation_Class,Slope_Class,DUANCENG_CLASS,WATER_CLASS,ROAD_CLASS,ROUGH_Class,NDVI_Class,PINGQU_Class,POQU_Class,PGV_Class,ASPECT_DIR,yanxinclass,label
0,1,4,4,9,5,5,4,4,3,3,1,3,13,0
1,1,4,4,9,5,6,2,3,3,3,1,4,13,0
2,1,4,3,10,6,6,1,5,3,4,1,5,13,0
3,1,5,4,8,5,6,2,3,3,3,1,5,13,0
4,1,4,3,10,5,5,2,4,3,3,1,3,13,0
5,1,4,4,10,5,5,2,4,4,3,1,4,13,0
6,1,5,4,7,4,6,4,3,3,3,1,3,13,0
7,1,4,5,9,4,5,3,4,3,4,1,5,13,0
8,1,4,4,7,3,5,4,3,3,3,1,4,13,0
9,1,5,4,7,4,6,1,3,3,3,1,3,13,0
10,1,4,3,10,4,4,2,5,3,3,1,1,13,0
11,1,4,4,8,4,4,1,4,3,3,1,4,13,0
12,1,4,4,8,3,5,3,4,2,4,1,3,13,0
13,1,4,4,8,4,4,2,3,3,4,1,4,13,0
14,1,5,4,6,3,6,4,3,3,4,1,1,10,0
15,1,4,4,8,3,4,2,4,3,3,1,4,13,0
16,1,4,4,10,4,5,2,5,2,3,1,2,13,0
17,1,4,4,11,4,4,2,5,3,2,1,2,13,0
18,1,5,4,6,3,6,3,3,3,3,1,4,13,0
19,1,4,4,10,3,4,2,5,3,4,1,2,13,0
20,1,4,4,7,3,5,3,4,2,3,1,5,13,0
21,1,4,3,9,4,4,1,5,4,4,1,4,13,0
22,1,4,4,6,2,6,4,4,3,3,1,3,13,0
23,1,4,4,10,4,4,2,5,2,3,1,3,13,0
24,1,4,4,8,3,4,2,6,2,4,1,3,13,0
25,1,3,3,8,3,3,1,5,3,3,1,4,13,0
26,1,3,3,9,2,2,1,5,3,4,1,2,13,0
27,1,3,2,9,3,3,1,5,2,4,1,3,13,0
28,1,3,4,8,3,4,1,6,4,4,1,4,13,0
29,1,3,3,11,4,3,1,5,3,3,1,3,13,0
30,1,4,4,7,2,4,3,5,3,3,1,5,13,0
31,1,3,2,9,2,2,1,4,3,4,1,3,13,0
32,1,4,4,6,2,5,3,5,3,3,1,4,13,0
33,1,4,4,6,2,5,3,4,3,3,1,3,13,0
34,1,4,4,10,3,3,3,6,3,3,1,1,13,0
35,1,3,4,17,2,1,1,5,4,4,1,1,9,0
36,1,2,4,16,1,1,2,4,3,3,1,3,13,0
37,1,4,4,11,3,3,2,5,2,3,1,3,13,0
38,1,3,4,10,2,2,2,5,3,3,1,2,13,0
39,1,3,3,10,2,2,1,5,3,3,1,3,13,0
40,1,3,4,12,3,3,1,6,3,3,1,5,13,0
41,1,3,4,11,3,3,1,6,3,3,1,4,13,0
42,1,3,4,10,3,2,3,6,3,4,1,2,13,0
